Time,Timestamp,X,Y,Z,Magnitude,Pressure,Label
39:30.1,310.9089661,-1.704711914,0.28527832,-0.059082031,1.729426817,955.8293051,sd
39:30.1,310.9260864,-1.704711914,0.28527832,-0.059082031,1.729426817,955.8293051,sd
39:30.1,310.9432068,-1.704711914,0.28527832,-0.059082031,1.729426817,955.8293051,sd
39:30.2,310.9603577,-1.704711914,0.28527832,-0.059082031,1.729426817,955.8293051,sd
39:30.2,310.9828186,-1.551391602,0.312866211,-0.277709961,1.606805523,955.8293051,sd
39:30.2,311,-1.551391602,0.312866211,-0.277709961,1.606805523,955.9648623,sd
39:30.2,311.0170898,-1.551391602,0.312866211,-0.277709961,1.606805523,955.9648623,sd
39:30.2,311.0343323,-1.551391602,0.312866211,-0.277709961,1.606805523,955.9648623,sd
39:30.3,311.0516052,-1.551391602,0.312866211,-0.277709961,1.606805523,955.9648623,sd
39:30.3,311.0723572,-1.234863281,0.280883789,-0.306640625,1.303000959,955.9648623,sd
39:30.3,311.0896301,-1.234863281,0.280883789,-0.306640625,1.303000959,955.9648623,sd
39:30.3,311.1069946,-1.234863281,0.280883789,-0.306640625,1.303000959,955.9648623,sd
39:30.3,311.1243286,-1.234863281,0.280883789,-0.306640625,1.303000959,955.9648623,sd
39:30.4,311.1469727,-0.902832031,0.319091797,-0.352539063,1.020396512,955.893637,sd
39:30.4,311.1644287,-0.902832031,0.319091797,-0.352539063,1.020396512,955.893637,sd
39:30.4,311.1818237,-0.902832031,0.319091797,-0.352539063,1.020396512,955.893637,sd
39:30.4,311.1993103,-0.902832031,0.319091797,-0.352539063,1.020396512,955.893637,sd
39:30.4,311.2220764,-0.811645508,0.3828125,-0.403076172,0.983760256,955.893637,sd
39:30.4,311.2394714,-0.811645508,0.3828125,-0.403076172,0.983760256,955.9353548,sd
39:30.5,311.256958,-0.811645508,0.3828125,-0.403076172,0.983760256,955.9353548,sd
39:30.5,311.2744446,-0.811645508,0.3828125,-0.403076172,0.983760256,955.9353548,sd
39:30.5,311.2922974,-0.811645508,0.3828125,-0.403076172,0.983760256,955.9353548,sd
39:30.5,311.3132324,-1.143188477,0.313476563,-0.340087891,1.233210129,955.9353548,sd
39:30.5,311.3308411,-1.143188477,0.313476563,-0.340087891,1.233210129,955.9353548,sd
39:30.6,311.3485107,-1.143188477,0.313476563,-0.340087891,1.233210129,955.9353548,sd
39:30.6,311.3661804,-1.143188477,0.313476563,-0.340087891,1.233210129,955.9353548,sd
39:30.6,311.3891602,-1.442749023,0.240478516,-0.188842773,1.474793631,955.9512159,sd
39:30.6,311.4068604,-1.442749023,0.240478516,-0.188842773,1.474793631,955.9512159,sd
39:30.6,311.4245911,-1.442749023,0.240478516,-0.188842773,1.474793631,955.9512159,sd
39:30.6,311.4424133,-1.442749023,0.240478516,-0.188842773,1.474793631,955.9512159,sd
39:30.7,311.4654846,-1.369750977,0.235717773,-0.112060547,1.394395271,955.9512159,sd
39:30.7,311.4833374,-1.369750977,0.235717773,-0.112060547,1.394395271,955.7294737,sd
39:30.7,311.5011597,-1.369750977,0.235717773,-0.112060547,1.394395271,955.7294737,sd
39:30.7,311.5190125,-1.369750977,0.235717773,-0.112060547,1.394395271,955.7294737,sd
39:30.7,311.5403442,-1.326416016,0.280273438,-0.016723633,1.355806891,955.7294737,sd
39:30.8,311.558197,-1.326416016,0.280273438,-0.016723633,1.355806891,955.7294737,sd
39:30.8,311.5761719,-1.326416016,0.280273438,-0.016723633,1.355806891,955.7294737,sd
39:30.8,311.5940857,-1.326416016,0.280273438,-0.016723633,1.355806891,955.7294737,sd
39:30.8,311.6120605,-1.326416016,0.280273438,-0.016723633,1.355806891,955.7294737,sd
39:30.8,311.635376,-1.244628906,0.272949219,0.048461914,1.275127816,955.7543864,sd
39:30.9,311.6534729,-1.244628906,0.272949219,0.048461914,1.275127816,955.7543864,sd
39:30.9,311.6718445,-1.244628906,0.272949219,0.048461914,1.275127816,955.7543864,sd
39:30.9,311.6899109,-1.244628906,0.272949219,0.048461914,1.275127816,955.7543864,sd
39:30.9,311.7113953,-0.952270508,0.184082031,0.024780273,0.970216149,955.7543864,sd
39:30.9,311.7295532,-0.952270508,0.184082031,0.024780273,0.970216149,955.7543864,sd
39:31.0,311.7476807,-0.952270508,0.184082031,0.024780273,0.970216149,955.7543864,sd
39:31.0,311.7658081,-0.952270508,0.184082031,0.024780273,0.970216149,955.7543864,sd
39:31.0,311.7893372,-0.657470703,0.101928711,-0.006103516,0.665352869,955.696003,sd
39:31.0,311.8075256,-0.657470703,0.101928711,-0.006103516,0.665352869,955.696003,sd
39:31.0,311.8258667,-0.657470703,0.101928711,-0.006103516,0.665352869,955.696003,sd
39:31.0,311.8441467,-0.657470703,0.101928711,-0.006103516,0.665352869,955.696003,sd
39:31.1,311.8677979,-0.54284668,0.077270508,-0.044555664,0.550125855,955.7344831,sd
39:31.1,311.8861389,-0.54284668,0.077270508,-0.044555664,0.550125855,955.7344831,sd
39:31.1,311.9045105,-0.54284668,0.077270508,-0.044555664,0.550125855,955.7344831,sd
39:31.1,311.9228821,-0.54284668,0.077270508,-0.044555664,0.550125855,955.7344831,sd
39:31.1,311.9446716,-0.784545898,0.160522461,-0.072875977,0.804108597,955.7344831,sd
